supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day.1,month,year,Category,Subcategory,Quantity,Unit Price,Discount,Order ID,Customer ID,Order Date,Sales,Profit,Country,Region,County,Branch
Naivas,6,2,736,1000,263,cash,yes,no,yes,yes,no,no,no,21/05/2017,no,12:07:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,vegetables,Peppers,6,86.87,0.04,ORD_4646,CUST_7640,2023-06-21 00:00:00,521.22,500.37,Kenya,Northern Region,Eldoret,Naivas Eldoret Sokoni
Naivas,1,1,58,70,12,cash,no,no,yes,no,no,no,no,19/05/2017,no,15:16:00,afternoon,chain,umoja,mid,friday,weekday,no,19,5,2017,vegetables,Tubers,3,27.84,0.1,ORD_6884,CUST_3790,2023-05-25 00:00:00,83.52,75.17,Kenya,Northern Region,Kapsabet,Naivas Kapsabet
Naivas,10,4,2903,2903,0,mpesa,yes,no,yes,yes,yes,yes,no,21/05/2017,no,14:21:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,fats and oils,Ghee,5,85.64,0.04,ORD_3034,CUST_7825,2023-09-08 00:00:00,428.2,411.07,Kenya,Northern Region,Kericho,Naivas Kericho
Naivas,7,2,961,1000,38,cash,yes,yes,yes,no,no,no,no,2017-12-05 00:00:00,no,15:46:00,afternoon,chain,umoja,mid,friday,weekday,no,12,5,2017,fats and oils,Avocado oil,9,38.7,0.05,ORD_5190,CUST_1051,2023-04-12 00:00:00,348.3,330.88,Kenya,Coastal Region,Malindi,Naivas Malindi
Naivas,9,2,907,1000,93,cash,yes,yes,yes,yes,yes,no,no,17/05/2017,no,20:27:00,night,chain,umoja,mid,wednesday,weekday,no,17,5,2017,beauty & cosmetics,Nail polish,2,61.38,0.11,ORD_8238,CUST_2842,2023-08-17 00:00:00,122.76,109.26,Kenya,Coastal Region,Kilifi,Naivas Kilifi
Naivas,2,1,202,205,3,cash,yes,no,no,no,no,no,no,22/05/2017,no,14:36:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017,stationery,Envelopes,4,33.11,0.3,ORD_7521,CUST_2855,2023-01-10 00:00:00,132.44,92.71,Kenya,Coastal Region,Kwale,Naivas Ukunda
Naivas,3,1,35,50,15,cash,no,yes,no,no,no,no,no,14/05/2017,no,18:12:00,afternoon,chain,umoja,mid,sunday,weekend,no,14,5,2017,snacks,Fruit snacks,3,8.78,0.26,ORD_3822,CUST_7053,2023-09-11 00:00:00,26.34,19.49,Kenya,Main Locations,Nairobi,Naivas HQ
Naivas,1,1,45,1000,955,cash,no,no,yes,no,no,no,no,22/05/2017,no,12:23:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017,cleaning,Toilet cleaner,6,83.91,0.23,ORD_8280,CUST_8979,2023-10-03 00:00:00,503.46,387.66,Kenya,Main Locations,Nairobi,Naivas HQ
Naivas,1,1,360,1000,640,cash,yes,no,no,no,no,no,no,22/05/2017,no,14:00:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017,snacks,Granola bars,4,10.75,0.21,ORD_7396,CUST_4003,2023-10-15 00:00:00,43,33.97,Kenya,Main Locations,Nairobi,Naivas Spur Mall
Naivas,4,2,321,325,4,cash,yes,no,yes,no,no,no,no,21/05/2017,no,19:54:00,night,chain,umoja,mid,sunday,weekend,no,21,5,2017,beauty & cosmetics,Conditioner,3,17.92,0.08,ORD_2841,CUST_1431,2023-03-12 00:00:00,53.76,49.46,Kenya,Main Locations,Nairobi,Naivas Lifestyle Foodmarket
Naivas,2,1,253,1000,747,cash,yes,no,no,no,no,no,no,19/05/2017,no,15:50:00,afternoon,chain,umoja,mid,friday,weekday,no,19,5,2017,vegetables,Alliums,3,81.02,0.1,ORD_6456,CUST_1579,2023-05-17 00:00:00,243.06,218.75,Kenya,Main Locations,Nakuru,Naivas Naivasha Ndogo
Naivas,3,2,345,400,55,cash,yes,yes,yes,no,no,no,no,19/05/2017,no,19:42:00,night,chain,umoja,mid,friday,weekday,no,19,5,2017,stationery,Notebooks,1,61.27,0.02,ORD_6269,CUST_8416,2023-07-13 00:00:00,61.27,60.04,Kenya,Main Locations,Nakuru,Naivas Supercentre Nakuru
Naivas,1,1,60,1000,940,cash,no,no,no,yes,no,no,no,21/05/2017,no,17:54:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,food additives,Vinegar,3,32.07,0.28,ORD_2425,CUST_2455,2023-01-10 00:00:00,96.21,69.27,Kenya,Main Locations,Nakuru,Naivasha Kubwa
Naivas,1,1,35,35,0,cash,no,no,no,yes,no,no,no,22/05/2017,no,14:01:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017,beverage,Energy drinks,7,17.08,0.13,ORD_5626,CUST_9015,2023-10-18 00:00:00,119.56,104.02,Kenya,Main Locations,Mombasa,Naivas Bombolulu
Naivas,2,2,164,200,36,cash,no,yes,yes,no,no,no,no,21/05/2017,no,16:53:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,food additives,Curry powder,3,34.64,0.28,ORD_2057,CUST_9220,2023-10-08 00:00:00,103.92,74.82,Kenya,Main Locations,Kiambu,Naivas Kiambu Town
Naivas,4,2,367,1000,633,cash,yes,no,yes,no,no,no,no,22/05/2017,no,14:26:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017,food additives,Vinegar,2,51.41,0.14,ORD_1464,CUST_4093,2023-04-13 00:00:00,102.82,88.43,Kenya,Main Locations,Kiambu,Naivas Ananas
Naivas,2,1,330,500,170,cash,yes,no,no,no,no,no,no,21/05/2017,no,18:15:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017,fats and oils,Sunflower oil,1,61.62,0.17,ORD_2960,CUST_8754,2023-09-14 00:00:00,61.62,51.14,Kenya,Main Locations,Kiambu,Naivas Thika Town
Naivas,1,1,5,5,0,cash,no,yes,no,no,no,no,no,21/05/2017,no,15:51:00,afternoon,small,saika,mid,sunday,weekend,no,21,5,2017,fats and oils,Margarine,6,83.69,0.28,ORD_8621,CUST_6189,2023-02-03 00:00:00,502.14,361.54,Kenya,Main Locations,Kiambu,Naivas Juja City Foodmarket
Naivas,2,2,239,500,261,cash,yes,no,yes,no,no,no,no,17/05/2017,no,18:14:00,afternoon,chain,umoja,mid,wednesday,weekday,no,17,5,2017,fats and oils,Margarine,7,67.81,0.27,ORD_6598,CUST_5848,2023-05-11 00:00:00,474.67,346.51,Kenya,Main Locations,Kiambu,Naivas Limuru Express
Naivas,3,1,638,650,14,cash,no,no,no,yes,no,no,no,21/05/2017,yes,16:01:00,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017,food additives,Baking powder,4,23.7,0.13,ORD_2592,CUST_2784,2023-08-04 00:00:00,94.8,82.48,Kenya,Main Locations,Kiambu,Naivas Kiambu Foodmarket
Naivas,3,1,720,1000,280,cash,no,no,no,no,yes,yes,no,19/05/2017,yes,12:06:00,afternoon,chain,donholm,mid,friday,weekday,no,19,5,2017,beverage,Spirits,1,54,0.24,ORD_9820,CUST_3731,2023-09-02 00:00:00,54,41.04,Kenya,Main Locations,Machakos,Naivas Supercentre Machakos
Naivas,3,2,357,400,43,cash,yes,yes,no,no,no,no,no,21/05/2017,yes,10:07:00,morning,chain,donholm,mid,sunday,weekend,no,21,5,2017,vegetables,Cruciferous vegetables,6,19.66,0.19,ORD_2229,CUST_7037,2023-10-21 00:00:00,117.96,95.55,Kenya,Main Locations,Machakos,Naivas Machakos Old
Naivas,3,2,412,500,88,cash,yes,no,no,yes,no,no,no,20/05/2017,yes,12:56:00,afternoon,chain,donholm,mid,saturday,weekend,no,20,5,2017,vegetables,Squashes,2,93.05,0.12,ORD_6629,CUST_6141,2023-09-17 00:00:00,186.1,163.77,Kenya,Central & Eastern,Nyeri,Naivas Nyeri
Naivas,1,1,350,350,0,cash,no,no,no,yes,yes,no,no,2017-08-05 00:00:00,yes,15:49:00,afternoon,chain,donholm,mid,monday,weekday,no,8,5,2017,beauty & cosmetics,Sunscreen,3,77.3,0.09,ORD_3604,CUST_5749,2023-07-11 00:00:00,231.9,211.03,Kenya,Central & Eastern,Embu,Naivas Pearl Centre
Naivas,4,1,199,200,1,cash,no,no,no,no,no,yes,no,21/05/2017,yes,18:50:00,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017,food additives,Chili sauce,7,76.2,0.06,ORD_6255,CUST_7830,2023-09-08 00:00:00,533.4,501.4,Kenya,Central & Eastern,Embu,Naivas Embu
Naivas,1,1,46,50,4,cash,yes,no,no,no,no,no,no,16/05/2017,yes,12:48:00,afternoon,chain,donholm,mid,tuesday,weekday,no,16,5,2017,beverage,Bottled water,6,48.94,0.13,ORD_8702,CUST_1583,2023-07-13 00:00:00,293.64,255.47,Kenya,Central & Eastern,Kitui,Naivas Kitui
Naivas,7,4,542,1000,458,cash,yes,yes,yes,no,no,yes,no,21/05/2017,yes,20:41:00,night,chain,donholm,mid,sunday,weekend,no,21,5,2017,cleaning,Surface polish,6,83.84,0.07,ORD_9179,CUST_9254,2023-05-13 00:00:00,503.04,467.83,Kenya,Central & Eastern,Kajiado,Naivas Maiyan Mall
Naivas,2,1,110,110,0,cash,yes,no,no,no,no,yes,no,14/05/2017,yes,08:53:00,morning,chain,donholm,mid,sunday,weekend,no,14,5,2017,cleaning,Toilet cleaner,9,93.8,0.03,ORD_8038,CUST_5724,2023-12-13 00:00:00,844.2,818.87,Kenya,Central & Eastern,Kajiado,Naivas Kitengela
Naivas,1,1,45,100,55,cash,no,no,no,yes,no,no,no,17/05/2017,no,14:37:00,afternoon,small,donholm,mid,wednesday,weekday,no,17,5,2017,vegetables,Mushrooms,6,72.15,0.26,ORD_5552,CUST_8112,2023-10-28 00:00:00,432.9,320.35,Kenya,Central & Eastern,Narok,Naivas Narok
Naivas,2,2,260,270,10,cash,no,no,yes,no,no,yes,no,21/05/2017,yes,17:50:00,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017,snacks,Chocolate bars,1,35.63,0.18,ORD_2773,CUST_1782,2023-05-15 00:00:00,35.63,29.22,Kenya,Western Region,Kisumu,Naivas Simba Foodmarket
Naivas,1,1,120,500,380,cash,no,no,no,no,no,yes,no,19/05/2017,no,16:09:00,afternoon,small,donholm,mid,friday,weekday,no,19,5,2017,stationery,Pens,9,40.23,0.1,ORD_8836,CUST_9645,2023-02-22 00:00:00,362.07,325.86,Kenya,Western Region,Kisumu,Naivas Mega City Foodmarket
Naivas,1,1,1900,2000,100,cash,no,no,no,yes,yes,no,no,19/05/2017,no,16:09:00,afternoon,small,donholm,mid,friday,weekday,no,19,5,2017,vegetables,Alliums,4,74.21,0.01,ORD_3659,CUST_6846,2023-07-20 00:00:00,296.84,293.87,Kenya,Western Region,Kisumu,Naivas Kisumu CBD
Naivas,2,1,223,1000,777,cash,yes,no,no,no,no,no,no,13/05/2017,yes,19:50:00,night,chain,donholm,mid,saturday,weekend,no,13,5,2017,snacks,Nuts,7,28.83,0.26,ORD_3605,CUST_6693,2023-10-13 00:00:00,201.81,149.34,Kenya,Western Region,Bungoma,Naivas Bungoma
Naivas,5,3,220,300,80,cash,yes,yes,yes,no,no,no,no,18/05/2017,yes,10:58:00,morning,chain,donholm,mid,thursday,weekday,no,18,5,2017,beauty & cosmetics,Face wash,2,14.28,0.29,ORD_4867,CUST_3844,2023-06-16 00:00:00,28.56,20.28,Kenya,Western Region,Kisii,Naivas Kisii
Naivas,2,1,351,400,49,cash,no,no,no,yes,no,no,no,16/05/2017,yes,11:36:00,morning,chain,donholm,mid,tuesday,weekday,no,16,5,2017,beverage,Coffee,4,28.56,0.23,ORD_5202,CUST_7833,2023-05-19 00:00:00,114.24,87.96,Kenya,Northern Region,Eldoret,Naivas Eldoret Zion
Naivas,8,1,416,500,84,cash,yes,no,no,no,no,no,no,20/05/2017,yes,20:28:00,night,chain,donholm,mid,saturday,weekend,no,20,5,2017,stationery,Pencils,6,57.87,0.02,ORD_7339,CUST_9112,2023-03-03 00:00:00,347.22,340.28,Kenya,Northern Region,Eldoret,Naivas Eldoret Referral
Naivas,2,1,119,200,81,cash,yes,no,no,no,no,no,no,20/05/2017,yes,16:26:00,afternoon,chain,donholm,mid,saturday,weekend,no,20,5,2017,stationery,Pens,1,28.52,0.09,ORD_2089,CUST_2934,2023-03-16 00:00:00,28.52,25.95,Kenya,Northern Region,Eldoret,Naivas Eldoret Sokoni
Naivas,1,1,95,95,0,cash,yes,no,no,no,no,no,no,16/05/2017,yes,18:31:00,afternoon,chain,donholm,mid,tuesday,weekday,no,16,5,2017,cleaning,All-purpose cleaner,4,7.37,0.16,ORD_2809,CUST_6301,2023-07-08 00:00:00,29.48,24.76,Kenya,Northern Region,Kapsabet,Naivas Kapsabet
Naivas,3,2,580,1000,420,cash,yes,no,no,yes,no,no,no,22/05/2017,no,15:07:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017,stationery,Envelopes,6,37.5,0.07,ORD_9796,CUST_6720,2023-03-22 00:00:00,225,209.25,Kenya,Northern Region,Kericho,Naivas Kericho
Naivas,14,3,2183,2183,0,card,yes,yes,no,no,yes,no,no,15/01/2017,no,18:16:00,afternoon,chain,cbd,mid,sunday,weekend,yes,15,1,2017,snacks,Nuts,1,34.57,0.23,ORD_6787,CUST_9916,2023-02-25 00:00:00,34.57,26.62,Kenya,Coastal Region,Malindi,Naivas Malindi
Naivas,1,1,60,200,140,cash,no,no,no,yes,no,no,no,24/01/2017,yes,10:50:00,morning,chain,kilimani,high,tuesday,weekday,no,24,1,2017,cleaning,Disinfectant wipes,1,97.82,0.11,ORD_1822,CUST_6187,2023-05-06 00:00:00,97.82,87.06,Kenya,Coastal Region,Kilifi,Naivas Kilifi
Naivas,2,1,360,500,140,cash,no,yes,no,no,yes,no,no,19/01/2017,no,22:41:00,night,chain,cbd,mid,thursday,weekday,yes,19,1,2017,food additives,Soy sauce,1,66.81,0.1,ORD_8201,CUST_3363,2023-02-16 00:00:00,66.81,60.13,Kenya,Coastal Region,Kwale,Naivas Ukunda
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naivas,2,1,136,200,64,cash,yes,no,no,no,no,no,no,26/05/2017,yes,13:35:00,night,chain,kilimani,high,friday,weekday,no,26,5,2017,fats and oils,Butter,5,89.47,0.18,ORD_4343,CUST_5529,2023-04-26 00:00:00,447.35,366.83,Kenya,Main Locations,Nairobi,Naivas HQ
Naivas,2,2,1724,2000,276,cash,yes,yes,no,no,no,no,no,23/05/2017,yes,12:26:00,afternoon,chain,kilimani,high,tuesday,weekday,no,23,5,2017,cleaning,Bathroom cleaner,4,10.25,0.05,ORD_6369,CUST_8659,2023-07-28 00:00:00,41,38.95,Kenya,Main Locations,Nairobi,Naivas Spur Mall
Naivas,1,1,29,29,0,cash,no,yes,no,no,no,no,no,25/05/2017,no,19:35:00,night,chain,cbd,mid,thursday,weekday,no,25,5,2017,fats and oils,Avocado oil,9,42.91,0.2,ORD_2656,CUST_7001,2023-09-02 00:00:00,386.19,308.95,Kenya,Main Locations,Nairobi,Naivas Lifestyle Foodmarket
Naivas,5,2,200,200,0,cash,yes,yes,no,no,no,no,no,23/05/2017,no,06:09:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017,cleaning,All-purpose cleaner,8,96.73,0.04,ORD_7117,CUST_9298,2023-06-25 00:00:00,773.84,742.89,Kenya,Main Locations,Nakuru,Naivas Naivasha Ndogo
Naivas,1,1,55,100,45,cash,yes,no,no,no,no,no,no,23/05/2017,no,07:08:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017,beauty & cosmetics,Shampoo,1,17.47,0.16,ORD_6458,CUST_9598,2023-02-18 00:00:00,17.47,14.67,Kenya,Main Locations,Nakuru,Naivas Supercentre Nakuru
Naivas,3,3,340,500,160,cash,yes,yes,yes,no,no,no,no,23/05/2017,no,20:28:00,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017,fats and oils,Corn oil,2,31.91,0.26,ORD_5554,CUST_1926,2023-09-18 00:00:00,63.82,47.23,Kenya,Main Locations,Nakuru,Naivasha Kubwa
Naivas,1,1,71,75,4,cash,yes,no,no,no,no,no,no,23/05/2017,no,07:38:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017,snacks,Cookies,2,13.59,0.28,ORD_6262,CUST_3174,2023-07-09 00:00:00,27.18,19.57,Kenya,Main Locations,Mombasa,Naivas Bombolulu
Naivas,1,1,35,100,65,cash,no,yes,no,no,no,no,no,23/05/2017,no,12:24:00,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017,vegetables,Peppers,3,88.98,0.22,ORD_5336,CUST_7623,2023-11-21 00:00:00,266.94,208.21,Kenya,Main Locations,Kiambu,Naivas Kiambu Town
Naivas,1,1,70,500,430,cash,yes,no,no,no,no,no,no,23/05/2017,no,06:42:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017,cleaning,Floor cleaner,4,66.38,0.26,ORD_8600,CUST_3469,2023-10-06 00:00:00,265.52,196.48,Kenya,Main Locations,Kiambu,Naivas Ananas
Naivas,2,1,70,100,30,cash,no,yes,no,no,no,no,no,23/05/2017,no,14:28:00,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017,cleaning,Disinfectant wipes,3,17.84,0.07,ORD_6186,CUST_3582,2023-07-04 00:00:00,53.52,49.77,Kenya,Main Locations,Kiambu,Naivas Thika Town
Naivas,1,1,50,100,50,cash,yes,no,no,no,no,no,no,23/05/2017,no,05:54:00,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017,snacks,Pretzels,6,45.38,0.01,ORD_7375,CUST_9278,2023-12-15 00:00:00,272.28,269.56,Kenya,Main Locations,Kiambu,Naivas Juja City Foodmarket
